Mv1      lamL      xs(fb)          r          Acc     SR         ds       Sobs      xs_lim(fb)
100.0    1.00    6.8204e+01    6.309e-01     0.02    EM10      3.210      58.00      103.09
100.0    2.00    2.7319e+02    2.702e+00     0.02    EM10      13.268      58.00      122.07
100.0    3.00    6.1363e+02    6.321e+00     0.02    EM10      30.373      58.00      158.86
100.0    4.00    1.0891e+03    9.693e+00     0.02    EM10      50.350      58.00      237.44
100.0    5.00    1.7065e+03    1.263e+01     0.04    IM8      123.517      180.00      263.62
100.0    6.00    2.4520e+03    2.040e+01     0.02    EM10      109.849      58.00      428.38
100.0    7.00    3.3359e+03    3.105e+01     0.02    EM10      157.475      58.00      512.32
100.0    8.00    4.3580e+03    3.524e+01     0.01    EM10      192.683      58.00      690.67
100.0    9.00    5.5243e+03    5.078e+01     0.02    EM10      259.256      58.00      791.98
100.0    10.00    6.8074e+03    5.623e+01     0.02    EM10      303.975      58.00      1007.58
100.0    11.00    8.2451e+03    7.050e+01     0.02    EM10      374.136      58.00      1177.43
100.0    12.00    9.8067e+03    1.005e+02     0.02    EM10      484.120      58.00      1262.03
110.0    1.00    4.3894e+01    4.676e-01     0.02    EM10      2.207      58.00      87.99
110.0    2.00    1.7516e+02    1.610e+00     0.02    EM10      8.220      58.00      117.17
110.0    3.00    3.9443e+02    3.196e+00     0.07    IM7      36.498      274.00      140.76
110.0    4.00    7.0010e+02    7.253e+00     0.02    EM10      34.746      58.00      168.52
110.0    5.00    1.0969e+03    9.763e+00     0.02    EM10      50.711      58.00      238.44
110.0    6.00    1.5784e+03    1.525e+01     0.02    EM10      75.807      58.00      285.34
110.0    7.00    2.1480e+03    2.200e+01     0.02    EM10      106.035      58.00      343.52
110.0    8.00    2.8089e+03    2.713e+01     0.02    EM10      134.905      58.00      437.02
110.0    9.00    3.5501e+03    3.574e+01     0.02    EM10      173.845      58.00      516.54
110.0    10.00    4.3841e+03    4.311e+01     0.02    EM10      212.337      58.00      625.17
